decision_date,n_words,dissent_direct,majority_split,consensus,dissent_index,n_signal_options,cbr_label,delta_bp,direction_actual,is_turning_point,signal_changed
2024-02-16,4269,4,6,8,-0.234,0,нейтральный,0,hold,0,0
2024-03-22,3318,2,6,7,-0.603,0,нейтральный,0,hold,0,0
2024-04-26,3701,2,10,2,1.351,0,нейтральный,0,hold,0,0
2024-06-07,3605,8,4,2,2.219,0,жесткий,0,hold,0,1
2024-07-26,4286,3,7,3,0.817,0,умеренно жесткий,200,up,0,1
2024-09-13,3897,0,3,4,-0.642,2,жесткий,100,up,0,1
2024-10-25,3772,0,6,9,-1.591,2,жесткий,200,up,0,0
2024-12-20,3752,1,5,3,0.133,2,умеренно жесткий,0,hold,0,1
2025-02-14,3479,2,3,7,-1.006,1,умеренно жесткий,0,hold,0,0
2025-03-21,3265,3,6,8,-0.613,2,умеренно жесткий,0,hold,0,0
2025-04-25,3744,0,8,10,-1.603,2,нейтральный,0,hold,0,1
2025-06-06,4324,3,12,5,0.925,2,нейтральный,-100,down,1,0
2025-07-25,4260,4,12,7,0.704,2,нейтральный,-200,down,0,0
2025-09-12,3563,3,4,8,-0.842,1,нейтральный,-100,down,0,0
2025-10-24,3673,4,8,4,1.089,1,нейтральный,-50,down,0,0
2025-12-19,3739,2,7,4,0.401,0,нейтральный,0,hold,0,0
2026-02-13,4526,5,9,5,0.994,2,умеренно мягкий,-50,down,0,1
2026-03-20,3740,12,9,5,3.075,1,умеренно мягкий,-50,down,0,0
2026-04-24,4181,5,7,6,0.598,1,умеренно мягкий,-100,down,0,0
2026-06-19,4571,7,9,3,1.86,1,умеренно мягкий,-25,down,0,0
