date,direction_actual,delta_bp,signal_sentence,modality,modality_all,direction_signal,hedge_count,hedges_found,has_conditionality,conditions_found,hardness_v1,n_words
2013-09-13,intro,0,"Система процентных инструментов Банка России и меры по ее совершенствованию Определяя процентный коридор как основу системы процентных ставок денежно-кредитной политики, Банк России на переходном этапе в 2014 году продолжит принимать меры, направленные на оптимизацию системы процентных инструментов, включая уменьшение их числа и устранение дублирования. Основными инструментами регулирования ликвидности банковского сектора будут оставаться операции Банка России на аукционной основе на срок 1 неделя.",,,none,0,,0,,0.0,807
2014-03-03,up,150,,,,none,0,,0,,0.0,43
2014-04-25,up,50,,,,none,0,,0,,0.0,584
2014-07-25,up,50,"В случае сохранения инфляционных рисков на высоком уровне Банк России продолжит повышение ключевой ставки. В июне 2014 года годовой темп прироста потребительских цен увеличился до 7,8%, базовая инфляция — до 7,5%.",intention,intention,up,0,,1,В случае ,0.3,588
2014-10-31,up,150,"Банк России продолжит принимать меры, направленные на замедление роста потребительских цен до целевого уровня 4% в среднесрочной перспективе. В случае улучшения внешних условий, формирования устойчивой тенденции к снижению инфляции и инфляционных ожиданий Банк России будет готов начать смягчение денежно-кредитной политики.",intention,intention,none,0,,1,В случае ,0.0,701
2014-12-11,up,100,В случае дальнейшего усиления инфляционных рисков Банк России продолжит повышение ключевой ставки. В ноябре — начале декабря увеличение инфляции продолжилось.,intention,intention,up,0,,1,В случае ,0.3,729
2014-12-16,up,650,,,,none,0,,0,,0.0,313
2015-01-30,down,-200,,,,none,0,,0,,0.0,475
2015-03-13,down,-100,"По мере ослабления инфляционных рисков Банк России будет готов продолжить снижение ключевой ставки. По состоянию на 10 марта, годовой темп прироста потребительских цен составил 16,7%.",intention,intention,down,0,,0,,-0.5,567
2015-04-30,down,-150,"По мере дальнейшего ослабления инфляционных рисков Банк России будет готов продолжить снижение ключевой ставки. По оценкам Банка России, по состоянию на 27 апреля годовой темп прироста потребительских цен составил 16,5%.",intention,intention,down,0,,0,,-0.5,580
2015-06-15,down,-100,"Банк России будет готов продолжить снижение ключевой ставки по мере дальнейшего замедления роста потребительских цен в соответствии с прогнозом, но при этом потенциал смягчения денежно-кредитной политики в ближайшие месяцы ограничен инфляционными рисками. Достигнув пика в марте, годовая инфляция снизилась — до 16,4% в апреле и 15,8% в мае.",intention,intention,down,0,,0,,-0.5,648
2015-07-31,down,-50,"В дальнейшем Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики. В июле наблюдалось временное ускорение годовой инфляции, что было ожидаемо и обусловлено большим, чем в 2014 году, повышением тарифов на услуги коммунального хозяйства.",intention,intention,none,0,,1,в зависимости от,0.0,639
2015-09-11,hold,0,"Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики. Годовая инфляция увеличилась с 15,6% в июле до 15,8% в августе.",intention,intention,none,0,,1,в зависимости от,0.0,728
2015-10-30,hold,0,При принятии решения Банк России будет учитывать изменение баланса инфляционных рисков и рисков охлаждения экономики. В сентябре-октябре годовая инфляция снизилась незначительно.,intention,intention,none,0,,0,,0.0,567
2015-12-11,hold,0,,,,none,0,,0,,0.0,725
