date,direction_actual,delta_bp,rate_new,n_fg_candidates,modality,modality_weight,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,hedges,cond_count,conditionals,nominalization_ratio,finite_verbs,verbal_nouns,commitment,hardness_v2,stance,n_words,signal_core
2013-09-13,intro,0,5.5,3,,0.0,none,none,0,1,0,0,0,,0,,0.75,2,6,0.0,0.0,0.0,807,"В дополнение к основным операциям регулирования ликвидности на аукционной основе и операциям постоянного действия Банк России будет на регулярной основе проводить аукционы по предоставлению кредитов, обеспеченных нерыночными активами, по плавающей процентной ставке на срок 3 месяца."
2014-03-03,up,150,7.0,0,,0.0,none,none,0,0,0,0,0,,0,,0.0,0,0,0.0,0.0,0.0,43,
2014-04-25,up,50,7.5,0,,0.0,none,none,0,0,0,0,0,,0,,0.0,0,0,0.0,0.0,0.0,584,
2014-07-25,up,50,8.0,2,intention_directed,0.7,up,none,0,1,0,0,0,,1,В случае,0.667,1,2,0.533,0.533,0.373,588,В случае сохранения инфляционных рисков на высоком уровне Банк России продолжит повышение ключевой ставки.
2014-10-31,up,150,9.5,4,intention_generic,0.25,none,none,1,1,0,0,0,,1,В случае,0.6,2,3,0.207,0.0,0.0,701,"Банк России продолжит принимать меры, направленные на стабилизацию инфляционных ожиданий и замедление роста потребительских цен до целевого уровня в среднесрочной перспективе."
2014-12-11,up,100,10.5,3,readiness,0.6,down,none,0,1,0,0,0,,0,,0.667,2,4,0.635,-0.635,-0.444,729,При формировании устойчивой тенденции к снижению инфляции и инфляционных ожиданий Банк России будет готов начать смягчение денежно-кредитной политики.
2014-12-16,up,650,17.0,0,,0.0,none,none,0,0,0,0,0,,0,,0.0,0,0,0.0,0.0,0.0,313,
2015-01-30,down,-200,15.0,0,,0.0,none,none,0,0,0,0,0,,0,,0.0,0,0,0.0,0.0,0.0,475,
2015-03-13,down,-100,14.0,2,readiness,0.6,down,none,0,1,0,0,0,,0,,0.5,2,2,0.69,-0.69,-0.483,567,По мере ослабления указанных рисков Банк России будет готов продолжить снижение ключевой ставки.
2015-04-30,down,-150,12.5,2,readiness,0.6,down,none,0,1,0,0,0,,0,,0.5,2,2,0.69,-0.69,-0.483,580,По мере дальнейшего ослабления инфляционных рисков Банк России будет готов продолжить снижение ключевой ставки.
2015-06-15,down,-100,11.5,2,readiness,0.6,down,none,0,1,0,0,0,,0,,0.667,2,4,0.635,-0.635,-0.444,648,"Банк России будет готов продолжить снижение ключевой ставки по мере ослабления инфляционных рисков и дальнейшего замедления инфляции в соответствии с прогнозом, но при этом потенциал смягчения денежно-кредитной политики в ближайшие месяцы ограничен инфляционными рисками."
2015-07-31,down,-50,11.0,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,в зависимости от,0.667,2,4,0.19,0.0,0.0,639,В дальнейшем Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики.
2015-09-11,hold,0,11.0,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,в зависимости от,0.667,2,4,0.19,0.0,0.0,728,Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики.
2015-10-30,hold,0,11.0,4,commitment_perfective,1.0,down,none,0,1,0,0,0,,0,,0.75,1,3,1.0,-1.0,-0.7,567,По мере замедления инфляции в соответствии с прогнозом Банк России возобновит снижение ключевой ставки на одном из ближайших заседаний Совета директоров.
2015-12-11,hold,0,11.0,2,commitment_perfective,1.0,down,none,0,1,0,0,0,,1,при услови,0.8,1,4,0.762,-0.762,-0.533,725,По мере замедления инфляции в соответствии с прогнозом и при условии ослабления инфляционных рисков Банк России возобновит снижение ключевой ставки на одном из ближайших заседаний Совета директоров.
2016-01-29,hold,0,11.0,3,necessity,0.85,none,none,1,0,1,0,0,,1,в базовом сценари,0.5,1,1,0.52,0.0,0.0,504,Однако потребуется дальнейшая адаптация платежного баланса и экономики к понизившемуся уровню мировых цен на основные товары российского экспорта.
2016-03-18,hold,0,11.0,2,,0.0,none,tight,0,1,0,0,0,,0,,0.4,3,2,0.0,0.0,0.0,632,"Для достижения цели по инфляции Банк России может проводить умеренно жесткую денежно-кредитную политику в течение более продолжительного времени, чем предполагалось ранее."
2016-04-29,hold,0,11.0,2,commitment_perfective,1.0,down,none,0,1,0,0,1,постепенное,1,В случае,0.667,2,4,0.625,-0.625,-0.438,493,"В случае снижения инфляционных рисков, позволяющего с большей уверенностью достичь цели по инфляции, Банк России возобновит постепенное снижение ключевой ставки на одном из ближайших заседаний Совета директоров."
2016-06-10,down,-50,10.5,2,delayed_evaluation,0.35,down,none,0,1,0,0,0,,0,,0.6,2,3,0.402,-0.402,-0.281,600,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории."
2016-07-29,hold,0,10.5,3,delayed_evaluation,0.35,down,none,0,1,0,0,0,,0,,0.6,2,3,0.402,-0.402,-0.281,545,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории."
2016-09-16,down,-50,10.0,2,delayed_evaluation,0.35,none,none,1,1,0,0,0,,0,,0.333,2,1,0.402,0.0,0.0,694,При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу.
2016-10-28,hold,0,10.0,2,delayed_evaluation,0.35,none,none,1,1,0,0,0,,0,,0.333,2,1,0.402,0.0,0.0,788,При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу.
2016-12-16,hold,0,10.0,4,commitment_perfective,1.0,down,none,0,1,0,0,0,,0,,0.8,1,4,1.0,-1.0,-0.7,695,По мере закрепления тенденции к устойчивому снижению темпа роста потребительских цен Банк России рассмотрит возможность снижения ключевой ставки в первом полугодии 2017 года.
2017-02-03,hold,0,10.0,0,,0.0,none,none,0,0,0,0,0,,0,,0.0,0,0,0.0,0.0,0.0,700,
2017-03-24,down,-25,9.75,2,delayed_evaluation,0.35,down,none,0,1,0,0,1,постепенного,0,,0.4,3,2,0.33,-0.33,-0.231,731,Банк России будет оценивать дальнейшую динамику инфляции и экономики относительно прогноза и допускает возможность постепенного снижения ключевой ставки во II – III кварталах текущего года.
2017-04-28,down,-50,9.25,2,delayed_evaluation,0.35,none,none,1,1,0,0,0,,0,,0.714,2,5,0.37,0.0,0.0,767,"Принимая решение о ключевой ставке, в дальнейшем Банк России будет оценивать соотношение вероятностей реализации базового сценария (снижение цен на нефть до $40 за баррель) и сценария с ростом цен на нефть, а также дальнейшую динамику инфляции и развитие экономики относительно прогноза."
2017-06-16,down,-25,9.0,5,,0.0,none,tight,0,1,0,0,0,,0,,0.75,1,3,0.0,0.0,0.0,670,Для поддержания инфляции вблизи целевого значения 4% Банк России продолжит проведение умеренно жесткой денежно-кредитной политики.
2017-07-28,hold,0,9.0,5,,0.0,none,none,0,1,0,0,0,,0,,0.286,5,2,0.0,0.0,0.0,682,"Банк России продолжит формировать такие денежно-кредитные условия, которые поддержат стимулы к сбережениям и обеспечат сбалансированный рост потребления, что ограничит инфляционные риски."
2017-09-15,down,-50,8.5,6,possibility,0.55,down,none,0,1,0,0,0,,0,,0.667,1,2,0.582,-0.582,-0.407,728,На горизонте ближайших двух кварталов Банк России допускает возможность снижения ключевой ставки.
2017-10-27,down,-25,8.25,6,possibility,0.55,down,none,0,1,0,0,0,,0,,0.75,1,3,0.582,-0.582,-0.407,615,Банк России допускает возможность дальнейшего снижения ключевой ставки на ближайших заседаниях.
2017-12-15,down,-50,7.75,5,possibility,0.55,down,none,0,1,0,0,1,некоторого,0,,0.667,1,2,0.477,-0.477,-0.334,828,Банк России допускает возможность некоторого снижения ключевой ставки в первом полугодии 2018 года.
2018-02-09,down,-25,7.5,2,intention_directed,0.7,down,tight,0,1,0,0,0,,0,,0.5,2,2,0.805,-0.805,-0.322,810,В этих условиях Банк России продолжит снижение ключевой ставки и допускает завершение перехода от умеренно жесткой к нейтральной денежно-кредитной политике в 2018 году.
2018-03-23,down,-25,7.25,2,intention_directed,0.7,down,none,0,1,0,0,0,,0,,0.333,2,1,0.805,-0.805,-0.564,615,В этих условиях Банк России продолжит снижение ключевой ставки и завершит переход к нейтральной денежно-кредитной политике в 2018 году.
2018-04-27,hold,0,7.25,2,intention_generic,0.25,none,none,1,1,0,0,0,,1,исходя из оценк,0.333,2,1,0.207,0.0,0.0,549,"Банк России будет принимать решения по ключевой ставке исходя из оценки инфляционных рисков, динамики инфляции и развития экономики относительно прогноза."
2018-06-15,hold,0,7.25,3,intention_generic,0.25,none,none,1,1,0,0,0,,0,,0.333,2,1,0.287,0.0,0.0,754,"Банк России будет принимать решение по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза."
2018-07-27,hold,0,7.25,2,intention_generic,0.25,none,none,1,1,0,0,0,,0,,0.333,2,1,0.287,0.0,0.0,673,"Банк России будет принимать решения по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза."
2018-09-14,up,25,7.5,2,delayed_evaluation,0.35,up,none,0,1,0,0,0,,0,,0.6,2,3,0.402,0.402,0.281,679,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков."
2018-10-26,hold,0,7.5,2,delayed_evaluation,0.35,up,none,0,1,0,0,0,,0,,0.6,2,3,0.402,0.402,0.281,657,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков."
2018-12-14,up,25,7.75,2,delayed_evaluation,0.35,up,none,0,1,0,0,0,,0,,0.6,2,3,0.402,0.402,0.281,809,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков."
2019-02-08,hold,0,7.75,2,intention_generic,0.25,up,none,0,1,0,0,0,,1,с учетом,0.6,2,3,0.207,0.207,0.145,741,"Банк России будет принимать решения по ключевой ставке, оценивая достаточность повышения ключевой ставки в сентябре и декабре 2018 года для возврата годовой инфляции к цели в 2020 году, с учетом динамики инфляции и экономики относительно прогноза, а также рисков со стороны внешних условий и реакции на них финансовых рынков."
2019-03-22,hold,0,7.75,4,,0.0,down,none,0,1,0,0,0,,2,При развитии ситуации|в соответствии с базовым прогноз,0.667,1,2,0.0,-0.0,0.0,848,При развитии ситуации в соответствии с базовым прогнозом Банк России допускает переход к снижению ключевой ставки в 2019 году.
