month,observed_med,expected_med,expected_5y_med
2009-12-01,,,
2010-04-01,17.355,14.4,
2010-06-01,15.23,12.895,
2010-09-01,18.639,16.158,
2010-12-01,18.134,18.701,
2011-07-01,19.24,17.004,
2011-09-01,16.336,16.387,
2011-12-01,15.052,15.836,
2012-07-01,14.876,15.681,
2012-09-01,15.055,15.737,
2012-11-01,16.818,16.0,
2012-12-01,16.5,17.368,
2013-03-01,14.946,14.525,
2013-06-01,11.219,11.007,
2013-09-01,11.388,11.379,
2013-12-01,13.407,13.038,
2014-02-01,12.03,11.795,
2014-04-01,11.625,11.522,
2014-05-01,13.306,12.673,
2014-06-01,12.474,11.721,
2014-07-01,11.852,11.349,
2014-08-01,11.365,11.83,
2014-09-01,12.531,12.459,
2014-10-01,14.259,13.817,
2014-11-01,13.618,13.146,
2014-12-01,15.203,15.462,
2015-01-01,19.769,16.571,
2015-02-01,27.422,18.072,
2015-03-01,27.087,15.66,
2015-04-01,27.605,13.968,
2015-05-01,27.91,14.329,
2015-06-01,26.789,14.995,
2015-07-01,23.446,13.945,
2015-08-01,23.223,14.761,
2015-09-01,26.484,16.007,
2015-10-01,24.335,15.26,
2015-11-01,22.23,15.84,
2015-12-01,23.332,16.443,
2016-01-01,20.545,16.714,
2016-02-01,21.09,15.74,
2016-03-01,18.92,14.74,
2016-04-01,18.535,14.599,
2016-05-01,18.5,13.6,
2016-06-01,19.232,14.188,
2016-07-01,18.58,14.287,
2016-08-01,16.539,12.562,
2016-09-01,17.384,14.207,
2016-10-01,15.085,12.346,
2016-11-01,17.199,13.677,
2016-12-01,14.753,12.353,
2017-01-01,13.983,11.486,
2017-02-01,15.056,12.879,
2017-03-01,14.037,11.162,
2017-04-01,13.824,10.959,
2017-05-01,12.123,10.27,
2017-06-01,12.44,10.34,
2017-07-01,11.9,10.692,
2017-08-01,11.305,9.527,
2017-09-01,11.229,9.556,
2017-10-01,11.232,9.85,
2017-11-01,10.372,8.687,
2017-12-01,10.047,8.742,
2018-01-01,9.915,8.879,
2018-02-01,9.433,8.44,
2018-03-01,9.218,8.469,
2018-04-01,8.292,7.814,
2018-05-01,9.192,8.556,
2018-06-01,10.578,9.837,
2018-07-01,10.255,9.682,
2018-08-01,10.378,9.901,
2018-09-01,10.196,10.07,
2018-10-01,10.143,9.339,
2018-11-01,10.053,9.831,
2018-12-01,10.205,10.236,
2019-01-01,10.071,10.363,
2019-02-01,10.567,10.136,
2019-03-01,10.013,9.141,
2019-04-01,10.548,9.39,
2019-05-01,10.421,9.264,
2019-06-01,10.239,9.429,
2019-07-01,9.904,9.371,
2019-08-01,10.027,9.11,
2019-09-01,9.867,8.894,
2019-10-01,9.362,8.612,
2019-11-01,8.68,8.257,
2019-12-01,9.383,9.022,
2020-01-01,8.566,8.259,
2020-02-01,8.747,7.934,
2020-03-01,8.311,7.888,
2020-08-01,9.19,8.823,
2020-09-01,9.419,8.948,
2020-10-01,9.614,9.668,
2020-11-01,10.734,10.121,
2020-12-01,11.954,11.507,
2021-01-01,12.821,10.484,
2021-02-01,12.285,9.864,
2021-03-01,12.658,10.071,
2021-04-01,14.549,11.879,
2021-05-01,14.807,11.328,
2021-06-01,14.932,11.914,
2021-07-01,16.52,13.4,
2021-08-01,16.494,12.495,
2021-09-01,15.602,12.303,
2021-10-01,16.265,13.622,
2021-11-01,16.183,13.473,
2021-12-01,17.669,14.767,
2022-01-01,16.705,13.728,
2022-02-01,17.144,13.537,
2022-03-01,16.313,18.334,
2022-04-01,19.924,12.539,
2022-05-01,25.093,11.481,
2022-06-01,23.709,12.366,
2022-07-01,22.178,10.822,
2022-08-01,20.529,11.982,
2022-09-01,21.516,12.488,
2022-10-01,18.244,12.839,
2022-11-01,17.63,12.226,
2022-12-01,16.294,12.127,
2023-01-01,14.85,11.615,10.919
2023-02-01,15.013,12.159,9.255
2023-03-01,14.277,10.713,10.358
2023-04-01,14.892,10.354,9.888
2023-05-01,14.114,10.805,11.314
2023-06-01,13.87,10.191,10.786
2023-07-01,13.809,11.059,9.549
2023-08-01,13.461,11.519,9.489
2023-09-01,13.754,11.721,11.357
2023-10-01,13.86,11.165,10.985
2023-11-01,15.119,12.178,10.992
2023-12-01,17.04,14.242,11.598
2024-01-01,16.337,12.716,9.83
2024-02-01,15.19,11.899,9.255
2024-03-01,14.85,11.466,9.964
2024-04-01,14.403,10.969,9.8
2024-05-01,14.031,11.707,10.427
2024-06-01,14.422,11.913,10.676
2024-07-01,14.242,12.414,10.622
2024-08-01,14.961,12.889,10.377
2024-09-01,14.389,12.521,12.432
2024-10-01,15.284,13.413,12.306
2024-11-01,15.296,13.367,11.717
2024-12-01,15.853,13.941,11.808
2025-01-01,16.446,14.033,12.315
2025-02-01,16.506,13.716,12.331
2025-03-01,16.515,12.926,12.051
2025-04-01,15.856,13.102,11.49
2025-05-01,15.539,13.4,11.821
2025-06-01,15.656,13.05,11.41
2025-07-01,15.005,13.048,10.768
2025-08-01,16.084,13.484,12.138
2025-09-01,14.702,12.602,12.64
2025-10-01,14.087,12.606,11.867
2025-11-01,14.491,13.269,11.609
2025-12-01,14.538,13.694,12.386
2026-01-01,14.5,13.663,11.368
2026-02-01,14.483,13.15,11.426
2026-03-01,15.617,13.389,11.824
2026-04-01,14.637,12.915,11.791
2026-05-01,15.084,13.023,11.06
2026-06-01,14.233,12.446,10.326
2026-07-01,15.104,14.704,11.214
