date,rate_new,delta_bp,direction_actual,modality,direction_signal,level_stance,direction_withheld,agent_explicit,impersonal,passive,hedge_count,cond_count,nominalization_ratio,commitment,hardness_v2,stance,cbr_label,cbr_label_score,cbr_labels_discussed,summary_words,summary_dissent_per_1k,infom_pre_month,infom_expected_pre,infom_post_month,infom_expected_post,infom_expected_delta,infom_observed_pre,n_words
2013-09-13,5.50,0,intro,,none,none,0,1,0,0,0,0,0.75,0.0,0.0,0.0,,,,,,2013-09-01,11.379,2013-12-01,13.038,1.659,11.388,807
2014-03-03,7.00,150,up,,none,none,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2014-02-01,11.795,2014-04-01,11.522,-0.273,12.03,43
2014-04-25,7.50,50,up,,none,none,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2014-04-01,11.522,2014-05-01,12.673,1.151,11.625,584
2014-07-25,8.00,50,up,intention_directed,up,none,0,1,0,0,0,1,0.667,0.533,0.533,0.373,,,,,,2014-07-01,11.349,2014-08-01,11.83,0.481,11.852,588
2014-10-31,9.50,150,up,intention_generic,none,none,1,1,0,0,0,1,0.6,0.207,0.0,0.0,,,,,,2014-10-01,13.817,2014-11-01,13.146,-0.671,14.259,701
2014-12-11,10.50,100,up,readiness,down,none,0,1,0,0,0,0,0.667,0.635,-0.635,-0.444,,,,,,2014-12-01,15.462,2015-01-01,16.571,1.109,15.203,729
2014-12-16,17.00,650,up,,none,none,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2014-12-01,15.462,2015-01-01,16.571,1.109,15.203,313
2015-01-30,15.00,-200,down,,none,none,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2015-01-01,16.571,2015-02-01,18.072,1.501,19.769,475
2015-03-13,14.00,-100,down,readiness,down,none,0,1,0,0,0,0,0.5,0.69,-0.69,-0.483,,,,,,2015-03-01,15.66,2015-04-01,13.968,-1.692,27.087,567
2015-04-30,12.50,-150,down,readiness,down,none,0,1,0,0,0,0,0.5,0.69,-0.69,-0.483,,,,,,2015-04-01,13.968,2015-05-01,14.329,0.361,27.605,580
2015-06-15,11.50,-100,down,readiness,down,none,0,1,0,0,0,0,0.667,0.635,-0.635,-0.444,,,,,,2015-06-01,14.995,2015-07-01,13.945,-1.05,26.789,648
2015-07-31,11.00,-50,down,intention_generic,none,none,1,1,0,0,0,1,0.667,0.19,0.0,0.0,,,,,,2015-07-01,13.945,2015-08-01,14.761,0.816,23.446,639
2015-09-11,11.00,0,hold,intention_generic,none,none,1,1,0,0,0,1,0.667,0.19,0.0,0.0,,,,,,2015-09-01,16.007,2015-10-01,15.26,-0.747,26.484,728
2015-10-30,11.00,0,hold,commitment_perfective,down,none,0,1,0,0,0,0,0.75,1.0,-1.0,-0.7,,,,,,2015-10-01,15.26,2015-11-01,15.84,0.58,24.335,567
2015-12-11,11.00,0,hold,commitment_perfective,down,none,0,1,0,0,0,1,0.8,0.762,-0.762,-0.533,,,,,,2015-12-01,16.443,2016-01-01,16.714,0.271,23.332,725
2016-01-29,11.00,0,hold,necessity,none,none,1,0,1,0,0,1,0.5,0.52,0.0,0.0,,,,,,2016-01-01,16.714,2016-02-01,15.74,-0.974,20.545,504
2016-03-18,11.00,0,hold,,none,tight,0,1,0,0,0,0,0.4,0.0,0.0,0.0,,,,,,2016-03-01,14.74,2016-04-01,14.599,-0.141,18.92,632
2016-04-29,11.00,0,hold,commitment_perfective,down,none,0,1,0,0,1,1,0.667,0.625,-0.625,-0.438,,,,,,2016-04-01,14.599,2016-05-01,13.6,-0.999,18.535,493
2016-06-10,10.50,-50,down,delayed_evaluation,down,none,0,1,0,0,0,0,0.6,0.402,-0.402,-0.281,,,,,,2016-06-01,14.188,2016-07-01,14.287,0.099,19.232,600
2016-07-29,10.50,0,hold,delayed_evaluation,down,none,0,1,0,0,0,0,0.6,0.402,-0.402,-0.281,,,,,,2016-07-01,14.287,2016-08-01,12.562,-1.725,18.58,545
2016-09-16,10.00,-50,down,delayed_evaluation,none,none,1,1,0,0,0,0,0.333,0.402,0.0,0.0,,,,,,2016-09-01,14.207,2016-10-01,12.346,-1.861,17.384,694
2016-10-28,10.00,0,hold,delayed_evaluation,none,none,1,1,0,0,0,0,0.333,0.402,0.0,0.0,,,,,,2016-10-01,12.346,2016-11-01,13.677,1.331,15.085,788
2016-12-16,10.00,0,hold,commitment_perfective,down,none,0,1,0,0,0,0,0.8,1.0,-1.0,-0.7,,,,,,2016-12-01,12.353,2017-01-01,11.486,-0.867,14.753,695
2017-02-03,10.00,0,hold,,none,none,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,2017-02-01,12.879,2017-03-01,11.162,-1.717,15.056,700
2017-03-24,9.75,-25,down,delayed_evaluation,down,none,0,1,0,0,1,0,0.4,0.33,-0.33,-0.231,,,,,,2017-03-01,11.162,2017-04-01,10.959,-0.203,14.037,731
2017-04-28,9.25,-50,down,delayed_evaluation,none,none,1,1,0,0,0,0,0.714,0.37,0.0,0.0,,,,,,2017-04-01,10.959,2017-05-01,10.27,-0.689,13.824,767
2017-06-16,9.00,-25,down,,none,tight,0,1,0,0,0,0,0.75,0.0,0.0,0.0,,,,,,2017-06-01,10.34,2017-07-01,10.692,0.352,12.44,670
2017-07-28,9.00,0,hold,,none,none,0,1,0,0,0,0,0.286,0.0,0.0,0.0,,,,,,2017-07-01,10.692,2017-08-01,9.527,-1.165,11.9,682
2017-09-15,8.50,-50,down,possibility,down,none,0,1,0,0,0,0,0.667,0.582,-0.582,-0.407,,,,,,2017-09-01,9.556,2017-10-01,9.85,0.294,11.229,728
2017-10-27,8.25,-25,down,possibility,down,none,0,1,0,0,0,0,0.75,0.582,-0.582,-0.407,,,,,,2017-10-01,9.85,2017-11-01,8.687,-1.163,11.232,615
2017-12-15,7.75,-50,down,possibility,down,none,0,1,0,0,1,0,0.667,0.477,-0.477,-0.334,,,,,,2017-12-01,8.742,2018-01-01,8.879,0.137,10.047,828
2018-02-09,7.50,-25,down,intention_directed,down,tight,0,1,0,0,0,0,0.5,0.805,-0.805,-0.322,,,,,,2018-02-01,8.44,2018-03-01,8.469,0.029,9.433,810
2018-03-23,7.25,-25,down,intention_directed,down,none,0,1,0,0,0,0,0.333,0.805,-0.805,-0.564,,,,,,2018-03-01,8.469,2018-04-01,7.814,-0.655,9.218,615
