date,rate_new,rate_old,delta_bp,direction,n_chars,n_words,signal_sentence,url
2013-09-13,5.5,5.5,0,intro,6452,807,В случае возникновения необходимости компенсации эффектов резких изменений уровня ликвидности банковского сектора вследствие действия автономных факторов или изменений спроса кредитных организаций на ликвидность Банк России будет оперативно принимать решение о проведении указанных операций.,https://www.cbr.ru/press/pr/?file=130913_1350427l.htm
2014-03-03,7.0,5.5,150,up,320,43,,https://www.cbr.ru/press/pr/?file=03032014_10262903_03.htm
2014-04-25,7.5,7.0,50,up,4682,584,,https://www.cbr.ru/press/pr/?file=25042014_1330501.htm
2014-07-25,8.0,7.5,50,up,4687,588,В случае сохранения инфляционных рисков на высоком уровне Банк России продолжит повышение ключевой ставки.,https://www.cbr.ru/press/pr/?file=25072014_133011dkp2014-07-25t13_00_55.htm
2014-10-31,9.5,8.0,150,up,5505,701,"В случае улучшения внешних условий, формирования устойчивой тенденции к снижению инфляции и инфляционных ожиданий Банк России будет готов начать смягчение денежно-кредитной политики.",https://www.cbr.ru/press/pr/?file=31102014_133027dkp2014-10-31t13_15_16.htm
2014-12-11,10.5,9.5,100,up,5920,729,При формировании устойчивой тенденции к снижению инфляции и инфляционных ожиданий Банк России будет готов начать смягчение денежно-кредитной политики.,https://www.cbr.ru/press/pr/?file=11122014_133014dkp2014-12-11t13_08_33.htm
2014-12-16,17.0,10.5,650,up,2345,313,,https://www.cbr.ru/press/pr/?file=16122014_004533dkp2014-12-16t00_39_23.htm
2015-01-30,15.0,17.0,-200,down,3646,475,,https://www.cbr.ru/press/pr/?file=30012015_133122dkp2015-01-30t13_15_49.htm
2015-03-13,14.0,15.0,-100,down,4425,567,По мере ослабления инфляционных рисков Банк России будет готов продолжить снижение ключевой ставки.,https://www.cbr.ru/press/pr/?file=13032015_133031dkp2015-03-13t13_20_49.htm
2015-04-30,12.5,14.0,-150,down,4683,580,По мере дальнейшего ослабления инфляционных рисков Банк России будет готов продолжить снижение ключевой ставки.,https://www.cbr.ru/press/pr/?file=30042015_133103dkp2015-04-30t13_05_21.htm
2015-06-15,11.5,12.5,-100,down,5041,648,"Банк России будет готов продолжить снижение ключевой ставки по мере дальнейшего замедления роста потребительских цен в соответствии с прогнозом, но при этом потенциал смягчения денежно-кредитной политики в ближайшие месяцы ограничен инфляционными рисками.",https://www.cbr.ru/press/pr/?file=15062015_133028keyrate2015-06-15t13_25_44.htm
2015-07-31,11.0,11.5,-50,down,4977,639,В дальнейшем Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики.,https://www.cbr.ru/press/pr/?file=31072015_133033keyrate2015-07-31t13_03_35.htm
2015-09-11,11.0,11.0,0,hold,5765,728,Банк России будет принимать решения об уровне ключевой ставки в зависимости от изменения баланса инфляционных рисков и рисков охлаждения экономики.,https://www.cbr.ru/press/pr/?file=11092015_133021keyrate2015-09-11t13_01_35.htm
2015-10-30,11.0,11.0,0,hold,4486,567,При принятии решения Банк России будет учитывать изменение баланса инфляционных рисков и рисков охлаждения экономики.,https://www.cbr.ru/press/pr/?file=30102015_133001keyrate2015-10-30t13_17_50.htm
2015-12-11,11.0,11.0,0,hold,5792,725,,https://www.cbr.ru/press/pr/?file=11122015_133000keyrate2015-12-11t13_15_16.htm
2016-01-29,11.0,11.0,0,hold,3735,504,Однако потребуется дальнейшая адаптация платежного баланса и экономики к понизившемуся уровню мировых цен на основные товары российского экспорта.,https://www.cbr.ru/press/pr/?file=29012016_133000keyrate2016-01-29t13_01_16.htm
2016-03-18,11.0,11.0,0,hold,4785,632,,https://www.cbr.ru/press/pr/?file=18032016_133000keyrate2016-03-18t13_21_21.htm
2016-04-29,11.0,11.0,0,hold,3849,493,,https://www.cbr.ru/press/pr/?file=29042016_133001dkp2016-04-29t13_03_28.htm
2016-06-10,10.5,11.0,-50,down,4711,600,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории.",https://www.cbr.ru/press/pr/?file=10062016_133019dkp2016-06-10t13_22_24.htm
2016-07-29,10.5,10.5,0,hold,4293,545,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории.",https://www.cbr.ru/press/pr/?file=29072016_133016keyrate2016-07-29t13_25_34.htm
2016-09-16,10.0,10.5,-50,down,5364,694,При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу.,https://www.cbr.ru/press/pr/?file=16092016_132949keyrate2016-09-16t12_56_02.htm
2016-10-28,10.0,10.0,0,hold,6166,788,При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу.,https://www.cbr.ru/press/pr/?file=28102016_133004keyrate2016-10-28t13_09_02.htm
