decision_date,pub_date,label_chosen,label_source,label_score,labels_discussed,n_labels_discussed,rates_discussed,n_rates_discussed,glosses
2024-02-16,27.02.2024,нейтральный,duration_only,0.0,,0,,0,
2024-03-22,01.04.2024,нейтральный,no_direction,0.0,,0,,0,
2024-04-26,13.05.2024,нейтральный,no_direction,0.0,,0,,0,
2024-06-07,20.06.2024,жесткий,gloss,1.0,,0,,0,
2024-07-26,07.08.2024,умеренно жесткий,gloss,0.5,,0,,0,
2024-09-13,25.09.2024,жесткий,gloss,1.0,умеренно жесткий|жесткий,2,,0,жесткий = допускает возможность повышения ;; умеренно жесткий = оценит целесообразность повышения
2024-10-25,06.11.2024,жесткий,gloss,1.0,умеренно жесткий|жесткий,2,"20,00|21,00",2,жесткий = допускает возможность повышения ;; умеренно жесткий = оценит целесообразность повышения
2024-12-20,28.12.2024,умеренно жесткий,gloss,0.5,жесткий|умеренно жесткий,2,,0,
2025-02-14,26.02.2025,умеренно жесткий,gloss,0.5,нейтральный,1,,0,
2025-03-21,02.04.2025,умеренно жесткий,gloss,0.5,нейтральный|умеренно жесткий,2,,0,
2025-04-25,12.05.2025,нейтральный,explicit,0.0,нейтральный|умеренно жесткий,2,,0,
2025-06-06,20.06.2025,нейтральный,gloss,0.0,умеренно мягкий|нейтральный,2,,0,
2025-07-25,06.08.2025,нейтральный,explicit,0.0,умеренно мягкий|нейтральный,2,,0,умеренно мягкий = об оценке целесообразности снижения ключевой ставки на ближайших заседаниях ;; нейтральный = без указания на направленность дальнейших шагов
2025-09-12,24.09.2025,нейтральный,explicit,0.0,нейтральный,1,,0,
2025-10-24,06.11.2025,нейтральный,explicit,0.0,нейтральный,1,,0,
2025-12-19,29.12.2025,нейтральный,gloss,0.0,,0,,0,
2026-02-13,26.02.2026,умеренно мягкий,gloss,-0.5,умеренно мягкий|мягкий,2,,0,
2026-03-20,01.04.2026,умеренно мягкий,explicit,-0.5,умеренно мягкий,1,,0,
2026-04-24,07.05.2026,умеренно мягкий,gloss,-0.5,умеренно мягкий,1,,0,
2026-06-19,01.07.2026,умеренно мягкий,gloss,-0.5,умеренно мягкий,1,,0,
