decision_date,pub_date,n_chars,n_words,url
2024-02-16,27.02.2024,33828,4269,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_27022024/
2024-03-22,01.04.2024,26487,3318,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_01042024/
2024-04-26,13.05.2024,29312,3701,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_13052024/
2024-06-07,20.06.2024,28140,3605,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_20062024/
2024-07-26,07.08.2024,33331,4286,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_07082024/
2024-09-13,25.09.2024,30844,3897,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_25092024/
2024-10-25,06.11.2024,29106,3772,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_06112024/
2024-12-20,28.12.2024,29768,3752,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_28122024/
2025-02-14,26.02.2025,26536,3479,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_26022025/
2025-03-21,02.04.2025,25539,3265,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_02042025/
2025-04-25,12.05.2025,28775,3744,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_12052025/
2025-06-06,20.06.2025,32953,4324,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_20062025/
2025-07-25,06.08.2025,32283,4260,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_06082025/
2025-09-12,24.09.2025,27304,3563,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_24092025/
2025-10-24,06.11.2025,28221,3673,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_06112025/
2025-12-19,29.12.2025,28835,3739,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_29122025/
2026-02-13,26.02.2026,34433,4526,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_26022026/
2026-03-20,01.04.2026,29139,3740,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_01042026/
2026-04-24,07.05.2026,31738,4181,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_07052026/
2026-06-19,01.07.2026,35845,4571,https://www.cbr.ru/dkp/mp_dec/decision_key_rate/summary_key_rate_01072026/
