decision_date,pub_date,n_words,modality,direction_signal,level_stance,commitment,hardness_v2,n_rate_options,rate_options,dissent_count,consensus_count,dissent_per_1k,signal_core
2024-02-16,27.02.2024,4269,,none,tight,0.0,0.0,0,,6,8,1.41,Решение по ключевой ставке сопровождалось указанием на продолжительный период поддержания жестких денежно-кредитных условий в экономике.
2024-03-22,01.04.2024,3318,,none,tight,0.0,0.0,0,,2,7,0.6,Совет директоров Банка России также посчитал оправданным сохранить сигнал о необходимости продолжительного периода поддержания жестких денежно-кредитных условий в экономике без дополнительного направленного сигнала о возможных дальнейших шагах по изменению ключевой ставки на ближайших заседаниях.
2024-04-26,13.05.2024,3701,,up,tight,0.0,0.0,0,,2,2,0.54,"Совет директоров Банка России также посчитал оправданным ужесточить сигнал, указав на более продолжительный период поддержания жестких денежно-кредитных условий в экономике , но не давать направленного сигнала об изменении ключевой ставки на ближайших заседаниях."
2024-06-07,20.06.2024,3605,,up,tight,0.0,0.0,0,,8,2,2.22,"Совет директоров ужесточил сигнал, указав на возможность повышения ключевой ставки на ближайшем заседании и необходимость поддержания жестких денежно-кредитных условий в экономике существенно более продолжительный период , чем предполагалось в апреле."
2024-07-26,07.08.2024,4286,delayed_evaluation,up,none,0.29,0.29,0,,3,3,0.7,Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.
2024-09-13,25.09.2024,3897,possibility,up,tight,0.632,0.632,0,,0,4,0.0,"В этих условиях целесообразнее использовать жесткий сигнал о том, что Банк России допускает возможность повышения ключевой ставки на ближайшем заседании."
2024-10-25,06.11.2024,3772,,up,none,0.0,0.0,0,,1,9,0.27,"По итогам состоявшейся дискуссии Совет директоров Банка России 25 октября 2024 года повысил ключевую ставку до 21,00% годовых с 28 октября 2024 года и дал направленный сигнал о возможном повышении ключевой ставки на ближайшем заседании ."
2024-12-20,28.12.2024,3752,commitment_perfective,up,none,1.0,1.0,0,,2,3,0.53,В такой ситуации Банк России возобновит ужесточение денежно-кредитной политики.
2025-02-14,26.02.2025,3479,necessity,up,none,0.704,0.704,0,,2,7,0.57,"Поэтому необходимо сохранить указание на то, что Банк России будет оценивать целесообразность повышения ключевой ставки на ближайшем заседании."
2025-03-21,02.04.2025,3265,,none,none,0.0,0.0,0,,2,7,0.61,Банк России продолжит анализировать скорость и устойчивость снижения инфляции и инфляционных ожиданий.
2025-04-25,12.05.2025,3744,intention_directed,hold,tight,0.805,0.0,0,,0,10,0.0,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-06-06,20.06.2025,4324,intention_directed,hold,tight,0.805,0.0,0,,2,5,0.46,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-07-25,06.08.2025,4260,intention_directed,hold,tight,0.58,0.0,0,,3,7,0.7,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-09-12,24.09.2025,3563,intention_directed,hold,tight,0.58,0.0,0,,2,8,0.56,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году."
2025-10-24,06.11.2025,3673,intention_directed,hold,tight,0.805,0.0,0,,4,4,1.09,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели."
2025-12-19,29.12.2025,3739,intention_directed,hold,tight,0.805,0.0,2,"15,50|16,50",3,4,0.8,"Банк России будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели."
2026-02-13,26.02.2026,4526,delayed_evaluation,down,none,0.267,-0.267,0,,5,5,1.1,Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции и динамики инфляционных ожиданий.
2026-03-20,01.04.2026,3740,delayed_evaluation,down,none,0.244,-0.244,0,,12,5,3.21,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий."
2026-04-24,07.05.2026,4181,delayed_evaluation,down,none,0.267,-0.267,0,,5,5,1.2,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внешних и внутренних условий."
2026-06-19,01.07.2026,4571,delayed_evaluation,down,none,0.244,-0.244,0,,7,2,1.53,"Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях в зависимости от устойчивости замедления инфляции, динамики инфляционных ожиданий, а также от оценки рисков со стороны внутренних и внешних условий."
