date,rate_new,rate_old,delta_bp,direction,note
2013-09-13,5.50,5.50,0,intro,Введение ключевой ставки
2014-03-03,7.00,5.50,150,up,
2014-04-25,7.50,7.00,50,up,
2014-07-25,8.00,7.50,50,up,
2014-10-31,9.50,8.00,150,up,
2014-12-11,10.50,9.50,100,up,
2014-12-16,17.00,10.50,650,up,Внеплановое ночное повышение
2015-01-30,15.00,17.00,-200,down,
2015-03-13,14.00,15.00,-100,down,
2015-04-30,12.50,14.00,-150,down,
2015-06-15,11.50,12.50,-100,down,
2015-07-31,11.00,11.50,-50,down,
2015-09-11,11.00,11.00,0,hold,
2015-10-30,11.00,11.00,0,hold,
2015-12-11,11.00,11.00,0,hold,
2016-01-29,11.00,11.00,0,hold,
2016-03-18,11.00,11.00,0,hold,
2016-04-29,11.00,11.00,0,hold,
2016-06-10,10.50,11.00,-50,down,
2016-07-29,10.50,10.50,0,hold,
2016-09-16,10.00,10.50,-50,down,
2016-10-28,10.00,10.00,0,hold,
2016-12-16,10.00,10.00,0,hold,
2017-02-03,10.00,10.00,0,hold,
2017-03-24,9.75,10.00,-25,down,
2017-04-28,9.25,9.75,-50,down,
2017-06-16,9.00,9.25,-25,down,
2017-07-28,9.00,9.00,0,hold,
2017-09-15,8.50,9.00,-50,down,
2017-10-27,8.25,8.50,-25,down,
2017-12-15,7.75,8.25,-50,down,
2018-02-09,7.50,7.75,-25,down,
2018-03-23,7.25,7.50,-25,down,
2018-04-27,7.25,7.25,0,hold,
2018-06-15,7.25,7.25,0,hold,
2018-07-27,7.25,7.25,0,hold,
2018-09-14,7.50,7.25,25,up,
2018-10-26,7.50,7.50,0,hold,
2018-12-14,7.75,7.50,25,up,
2019-02-08,7.75,7.75,0,hold,
2019-03-22,7.75,7.75,0,hold,
2019-04-26,7.75,7.75,0,hold,
2019-06-14,7.50,7.75,-25,down,
2019-07-26,7.25,7.50,-25,down,
2019-09-06,7.00,7.25,-25,down,
2019-10-25,6.50,7.00,-50,down,
2019-12-13,6.25,6.50,-25,down,
2020-02-07,6.00,6.25,-25,down,
2020-03-20,6.00,6.00,0,hold,
2020-04-24,5.50,6.00,-50,down,
2020-06-19,4.50,5.50,-100,down,
2020-07-24,4.25,4.50,-25,down,
2020-09-18,4.25,4.25,0,hold,
2020-10-23,4.25,4.25,0,hold,
2020-12-18,4.25,4.25,0,hold,
2021-02-12,4.25,4.25,0,hold,
2021-03-19,4.50,4.25,25,up,
2021-04-23,5.00,4.50,50,up,
2021-06-11,5.50,5.00,50,up,
2021-07-23,6.50,5.50,100,up,
2021-09-10,6.75,6.50,25,up,
2021-10-22,7.50,6.75,75,up,
2021-12-17,8.50,7.50,100,up,
2022-02-11,9.50,8.50,100,up,
2022-02-28,20.00,9.50,1050,up,Внеплановое повышение после начала СВО
2022-04-08,17.00,20.00,-300,down,Внеочередное
2022-04-29,14.00,17.00,-300,down,
2022-05-26,11.00,14.00,-300,down,Внеочередное
2022-06-10,9.50,11.00,-150,down,
2022-07-22,8.00,9.50,-150,down,
2022-09-16,7.50,8.00,-50,down,
2022-10-28,7.50,7.50,0,hold,
2022-12-16,7.50,7.50,0,hold,
2023-02-10,7.50,7.50,0,hold,
2023-03-17,7.50,7.50,0,hold,
2023-04-28,7.50,7.50,0,hold,
2023-06-09,7.50,7.50,0,hold,
2023-07-21,8.50,7.50,100,up,
2023-08-15,12.00,8.50,350,up,Внеочередное
2023-09-15,13.00,12.00,100,up,
2023-10-27,15.00,13.00,200,up,
2023-12-15,16.00,15.00,100,up,
2024-02-16,16.00,16.00,0,hold,
2024-03-22,16.00,16.00,0,hold,
2024-04-26,16.00,16.00,0,hold,
2024-06-07,16.00,16.00,0,hold,
2024-07-26,18.00,16.00,200,up,
2024-09-13,19.00,18.00,100,up,
2024-10-25,21.00,19.00,200,up,
2024-12-20,21.00,21.00,0,hold,
2025-02-14,21.00,21.00,0,hold,
2025-03-21,21.00,21.00,0,hold,
2025-04-25,21.00,21.00,0,hold,
2025-06-06,20.00,21.00,-100,down,
2025-07-25,18.00,20.00,-200,down,
2025-09-12,17.00,18.00,-100,down,
2025-10-24,16.50,17.00,-50,down,
2025-12-19,16.50,16.50,0,hold,
2026-02-13,16.00,16.50,-50,down,
2026-03-20,15.50,16.00,-50,down,
2026-04-24,14.50,15.50,-100,down,
2026-06-19,14.25,14.50,-25,down,
2026-07-24,14.00,14.25,-25,down,
